camera_traseira;velocidade_do_processador;url;chips;resolucao;tamanho_da_tela;modelo;memoria_ram;linha;preco;camera_frontal;marca;memoria_interna
3.2 megapixels;;http://www.buscape.com.br/detalhes--smartphone-samsung-wave-533-gt-s5330.html;single;240 x 400;3.2;533 gt-s5330;;wave;664.0;;samsung;
5.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-s-iii-duos-gt-i8262b.html;dual;480 x 800;4.3;s iii duos gt-i8262b;;galaxy;;vga;samsung;
2.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-nokia-e63.html;single;320 x 240;2.36;e63;;;;;nokia;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-sony-ericsson-k550i.html;single;176 x 220;;k550i;;;;;sony ericsson;
13.0 megapixels;1.4;http://www.buscape.com.br/detalhes--smartphone-motorola-moto-g-3-geracao-music-xt1543-16gb.html;dual;1280 x 720;5.0;3ª geração music xt1543 16gb;1.0;moto g;1014.0;5.0 megapixels frontal;motorola;16.0
2.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-samsung-ch-t-335-gt-s3350.html;;320 x 240;2.4;gt-s3350;;ch@t 335;;;samsung;
;;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-pro-duos-gt-b5512.html;;;;pro duos gt-b5512;;galaxy;;;samsung;
2.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-motorola-a1200.html;single;240 x 320;2.4;a1200;;;;;motorola;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-sony-ericsson-w395.html;single;176 x 220;2.0;w395;;;;;sony ericsson;
2.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-pocket-neo-gt-s5312.html;dual;240 x 320;3.0;neo gt-s5312;;galaxy pocket;;;samsung;4.0
3.2 megapixels;;http://www.buscape.com.br/detalhes--smartphone-sony-ericsson-xperia-x8.html;single;320 x 480;3.0;x8;;xperia;;;sony ericsson;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-2220.html;single;128 x 160;1.8;2220;;;;;nokia;
2.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-apple-iphone-3g-8gb.html;single;320 x 480;3.5;3g 8gb;;iphone;;;apple;8.0
2.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-nokia-5230.html;single;640 x 360;3.2;5230;;;;;nokia;
2.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-motorola-razr-v8.html;single;240 x 320;2.2;v8;;razr;;;motorola;
;;http://www.buscape.com.br/detalhes--celular-nokia-1208.html;single;96 x 68;1.5;1208;;;;;nokia;
5.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-s-iii-mini-gt-i8200.html;single;480 x 800;4.0;s iii mini gt-i8200;;galaxy;;vga;samsung;8.0
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-asha-310.html;dual;240 x 400;3.0;310;;asha;;;nokia;
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-lg-optimus-3d-p920.html;single;480 x 800;4.3;3d p920;;optimus;;5.0 megapixels frontal;lg;8.0
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-lg-optimus-l5-ii-e450.html;single;800 x 480;4.0;l5 ii e450;;optimus;;;lg;4.0
5.0 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-x2.html;single;320 x 240;2.2;x2;;;;;nokia;
;;http://www.buscape.com.br/detalhes--celular-nokia-1616.html;single;128 x 160;1.8;1616;;;;;nokia;
3.2 megapixels;;http://www.buscape.com.br/detalhes--smartphone-samsung-3g-monte-gt-s5620.html;single;240 x 400;3.0;3g monte gt-s5620;;;;;samsung;
5.0 megapixels;1.5;http://www.buscape.com.br/detalhes--smartphone-lg-optimus-f5.html;single;540 x 960;4.3;f5;;optimus;;1.3 megapixels frontal;lg;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-motorola-w375.html;single;128 x 160;1.8;w375;;;;;motorola;
3.2 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-gt-b5702.html;dual;240 x 320;2.4;gt-b5702;;;;;samsung;
3.2 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-asha-302.html;;240 x 320;2.4;302;;asha;;;nokia;
5.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-nokia-n97.html;single;360 x 640;3.5;n97;;;;;nokia;32.0
8.0 megapixels;1.3;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-gran-prime-tv-sm-g531.html;dual;960 x 540;5.0;tv sm-g531;;galaxy gran prime;;5.0 megapixels frontal;samsung;8.0
8.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-xiaomi-redmi-2.html;dual;1280 x 720;4.7;redmi 2;;;;2.0 megapixels frontal;xiaomi;8.0
8.0 megapixels;1.43;http://www.buscape.com.br/detalhes--smartphone-nokia-lumia-900.html;;;4.3;900;;lumia;818.0;;nokia;16.0
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-sgh-e215.html;single;128 x 160;;sgh-e215;;;;;samsung;
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-motorola-milestone-2-a953.html;single;480 x 854;3.7;2 a953;;milestone;;;motorola;8.0
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-sony-ericsson-w800i.html;single;176 x 220;;w800i;;;;;sony ericsson;
12.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-alpha-sm-g850.html;;720 x 1280;4.7;sm-g850;;galaxy alpha;;2.1 megapixels frontal;samsung;32.0
2.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-motorola-motosmart-xt305.html;dual;;3.2;motosmart xt305;;;;;motorola;
3.15 megapixels;;http://www.buscape.com.br/detalhes--smartphone-zte-x850.html;single;240 x 320;2.8;x850;;;;;zte;
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-sony-ericsson-xperia-mini-pro.html;single;320 x 480;3.0;mini pro;;xperia;;1.3 megapixels frontal;sony ericsson;
5.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-motorola-moto-g-music-edition-xt1033-16-gb.html;;1280 x 720;4.5;music edition xt1033 16 gb;;moto g;;1.3 megapixels frontal;motorola;16.0
3.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-young-2-sm-g130.html;;320 x 480;3.5;2 sm-g130;;galaxy young;;;samsung;4.0
2.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-samsung-pocket-plus-gt-s5301.html;single;240 x 320;2.8;pocket plus gt-s5301;;;;;samsung;4.0
3.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-lg-optimus-l3-ii-e425.html;single;240 x 320;3.2;l3 ii e425;;optimus;;;lg;4.0
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-sony-ericsson-w300i.html;single;128 x 160;1.6;w300i;;;;;sony ericsson;
3.2 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-5610.html;single;240 x 320;2.2;5610;;;;;nokia;
3.15 megapixels;;http://www.buscape.com.br/detalhes--smartphone-apple-iphone-3gs-16gb.html;single;320 x 480;3.5;3gs 16gb;;iphone;;;apple;16.0
8.0 megapixels;1.3;http://www.buscape.com.br/detalhes--smartphone-apple-iphone-5s-64gb.html;single;1136 x 640;4.0;5s 64gb;1.0;iphone;3843.0;1.2 megapixels frontal;apple;64.0
5.0 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-x3-02.html;single;240 x 320;2.4;x3-02;;;421.0;;nokia;
12.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-apple-iphone-6s-16gb.html;single;1334 x 750;4.7;6s 16gb;;iphone;3799.0;5.0 megapixels frontal;apple;16.0
8.1 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-sony-ericsson-xperia-x10.html;single;480 x 854;4.0;x10;;xperia;;;sony ericsson;1.0
12.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-apple-iphone-6s-64gb.html;single;1334 x 750;4.7;6s 64gb;;iphone;;5.0 megapixels frontal;apple;64.0
16.0 megapixels;1.5;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-s4-zoom-sm-c1010.html;single;540 x 960;4.3;s4 zoom sm-c1010;;galaxy;;1.9 megapixels frontal;samsung;8.0
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-2220.html;single;128 x 160;1.8;2220;;;;;nokia;
2.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-apple-iphone-3g-8gb.html;single;320 x 480;3.5;3g 8gb;;iphone;;;apple;8.0
2.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-nokia-5230.html;single;640 x 360;3.2;5230;;;;;nokia;
2.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-motorola-razr-v8.html;single;240 x 320;2.2;v8;;razr;;;motorola;
;;http://www.buscape.com.br/detalhes--celular-nokia-1208.html;single;96 x 68;1.5;1208;;;;;nokia;
5.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-s-iii-mini-gt-i8200.html;single;480 x 800;4.0;s iii mini gt-i8200;;galaxy;;vga;samsung;8.0
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-asha-310.html;dual;240 x 400;3.0;310;;asha;;;nokia;
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-lg-optimus-3d-p920.html;single;480 x 800;4.3;3d p920;;optimus;;5.0 megapixels frontal;lg;8.0
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-lg-optimus-l5-ii-e450.html;single;800 x 480;4.0;l5 ii e450;;optimus;;;lg;4.0
5.0 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-x2.html;single;320 x 240;2.2;x2;;;;;nokia;
;;http://www.buscape.com.br/detalhes--celular-nokia-1616.html;single;128 x 160;1.8;1616;;;;;nokia;
3.2 megapixels;;http://www.buscape.com.br/detalhes--smartphone-samsung-3g-monte-gt-s5620.html;single;240 x 400;3.0;3g monte gt-s5620;;;;;samsung;
5.0 megapixels;1.5;http://www.buscape.com.br/detalhes--smartphone-lg-optimus-f5.html;single;540 x 960;4.3;f5;;optimus;;1.3 megapixels frontal;lg;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-motorola-w375.html;single;128 x 160;1.8;w375;;;;;motorola;
3.2 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-gt-b5702.html;dual;240 x 320;2.4;gt-b5702;;;;;samsung;
3.2 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-asha-302.html;;240 x 320;2.4;302;;asha;;;nokia;
5.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-nokia-n97.html;single;360 x 640;3.5;n97;;;;;nokia;32.0
8.0 megapixels;1.3;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-gran-prime-tv-sm-g531.html;dual;960 x 540;5.0;tv sm-g531;;galaxy gran prime;;5.0 megapixels frontal;samsung;8.0
8.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-xiaomi-redmi-2.html;dual;1280 x 720;4.7;redmi 2;;;;2.0 megapixels frontal;xiaomi;8.0
8.0 megapixels;1.43;http://www.buscape.com.br/detalhes--smartphone-nokia-lumia-900.html;;;4.3;900;;lumia;818.0;;nokia;16.0
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-sgh-e215.html;single;128 x 160;;sgh-e215;;;;;samsung;
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-motorola-milestone-2-a953.html;single;480 x 854;3.7;2 a953;;milestone;;;motorola;8.0
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-sony-ericsson-w800i.html;single;176 x 220;;w800i;;;;;sony ericsson;
12.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-alpha-sm-g850.html;;720 x 1280;4.7;sm-g850;;galaxy alpha;;2.1 megapixels frontal;samsung;32.0
3.2 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-x3.html;single;320 x 240;2.2;x3;;;;;nokia;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-gt-m3710.html;single;240 x 320;2.8;gt-m3710;;;;;samsung;
3.2 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-c333.html;tri;2048 x 1536;2.3;c333;;;;;lg;
2.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-motorola-zn200.html;single;176 x 220;1.9;zn200;;;;;motorola;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-wink-style-t310.html;single;240 x 320;2.8;wink style t310;;;;;lg;
3.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-young-plus-tv-s6293.html;dual;320 x 480;3.27;plus tv s6293;;galaxy young;;;samsung;4.0
8.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-lg-g-pro-lite-dual-d685.html;dual;540 x 960;5.5;dual d685;;g pro lite;;1.3 megapixels frontal;lg;8.0
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-5130.html;single;240 x 320;2.0;5130;;;;;nokia;
3.2 megapixels;;http://www.buscape.com.br/detalhes--smartphone-nokia-n73.html;single;240 x 320;2.4;n73;;;;0.3 megapixels frontal;nokia;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-motorola-wx295.html;single;128 x 160;1.8;wx295;;;;;motorola;
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-cce-motion-plus-sm70.html;dual;800 x 480;4.3;sm70;;motion plus;;vga;cce;4.0
;;http://www.buscape.com.br/detalhes--celular-samsung-sgh-c276.html;single;128 x 128;1.52;sgh-c276;;;;;samsung;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-2760.html;single;128 x 160;1.9;2760;;;;;nokia;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-3220.html;single;128 x 128;;3220;;;;;nokia;
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-7100.html;single;320 x 240;2.0;7100;;;;;nokia;
5.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-j1-sm-j100.html;dual;800 x 480;4.3;j1 sm-j100;;galaxy;;2.0 megapixels frontal;samsung;4.0
5.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-gran-neo-plus-duos-gt-i9060c.html;dual;480 x 800;5.0;plus duos gt-i9060c;;galaxy gran neo;;2.0 megapixels frontal;samsung;8.0
13.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-alcatel-idol-3-4-7-16gb.html;dual;1280 x 720;4.7;idol 3 4.7 16gb;;;723.0;5.0 megapixels frontal;alcatel;16.0
0.3 megapixels;;http://www.buscape.com.br/detalhes--smartphone-nokia-asha-205.html;dual;320 x 240;2.4;205;;asha;;;nokia;
8.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-apple-iphone-6-128gb.html;single;1334 x 750;4.7;6 128gb;1.0;iphone;;1.2 megapixels frontal;apple;128.0
;;http://www.buscape.com.br/detalhes--celular-samsung-sgh-x480.html;single;128 x 160;;sgh-x480;;;;;samsung;
8.1 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-sony-ericsson-xperia-arc.html;single;480 x 854;4.2;arc;;xperia;;;sony ericsson;
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-fame-gt-s6810.html;;320 x 480;3.5;gt-s6810;;galaxy fame;;0.3 megapixels frontal;samsung;
3.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-motorola-motogo-tv-ex440.html;;;3.2;motogo tv ex440;;;;;motorola;
5.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-motorola-zn5.html;single;240 x 320;;zn5;;;;;motorola;
8.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-sony-xperia-m2-d2306.html;;960 x 540;4.8;m2 d2306;;xperia;;;sony;1.0
3.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-lg-l40-d175.html;dual;480 x 320;3.5;l40 d175;;;;;lg;4.0
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-huawei-g6620s.html;dual;;2.4;g6620s;;;;;huawei;
3.2 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-3600.html;single;320 x 240;;3600;;;;;nokia;
;;http://www.buscape.com.br/detalhes--celular-motorola-w233.html;single;128 x 128;1.6;w233;;;;;motorola;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-gt-e2210.html;single;128 x 160;1.77;gt-e2210;;;;;samsung;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-gt-e2330.html;;128 x 160;2.0;gt-e2330;;;;;samsung;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-motorola-wx290.html;single;128 x 160;1.8;wx290;;;;;motorola;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-c199.html;dual;240 x 320;2.3;c199;;;;;lg;
;;http://www.buscape.com.br/detalhes--celular-motorola-w230.html;single;128 x 128;1.6;w230;;;;;motorola;
3.2 megapixels;;http://www.buscape.com.br/detalhes--smartphone-apple-iphone-3gs-32gb.html;single;480 x 320;3.5;3gs 32gb;;iphone;;;apple;16.0
20.7 megapixels;;http://www.buscape.com.br/detalhes--smartphone-sony-xperia-z3-e6533.html;;1920 x 1080;5.2;z3+ e6533;;xperia;;5.1 megapixels frontal;sony;32.0
3.15 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-duos-tv-gt-i6712.html;dual;240 x 400;3.2;duos tv gt-i6712;;;;;samsung;
8.0 megapixels;1.3;http://www.buscape.com.br/detalhes--smartphone-positivo-s480.html;dual;854 x 480;4.5;s480;;;;2.0 megapixels frontal;positivo;8.0
8.0 megapixels;1.4;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-s-iii-gt-i9305.html;single;720 x 1280;4.8;s iii gt-i9305;;galaxy;1520.0;1.9 megapixels frontal;samsung;16.0
8.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-lg-optimus-l7-ii-p714.html;single;800 x 480;4.3;l7 ii p714;;optimus;;0.3 megapixels frontal;lg;4.0
8.0 megapixels;1.4;http://www.buscape.com.br/detalhes--smartphone-sony-ericsson-xperia-arc-s.html;single;480 x 854;4.2;arc s;;xperia;;;sony ericsson;1.0
8.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-lg-optimus-2x-p990.html;single;480 x 800;4.0;2x p990;;optimus;;1.3 megapixels frontal;lg;8.0
5.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-motorola-moto-g-xt1040-8gb.html;;1280 x 720;4.5;xt1040 8gb;;moto g;;1.3 megapixels frontal;motorola;8.0
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-2720.html;single;120 x 160;1.8;2720;;;;;nokia;
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-safira-mg810.html;single;176 x 220;2.0;safira mg810;;;;;lg;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-cce-c10.html;dual;240 x 320;2.4;c10;;;;;cce;
13.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-motorola-moto-g-turbo-xt1556.html;dual;1280 x 720;5.0;turbo xt1556;;moto g;;5.0 megapixels frontal;motorola;16.0
8.0 megapixels;1.7;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-s4-mini-gt-i9195.html;;540 x 960;4.27;s4 mini gt-i9195;;galaxy;;1.9 megapixels frontal;samsung;8.0
3.15 megapixels;;http://www.buscape.com.br/detalhes--smartphone-motorola-defy-mini-xt320.html;;320 x 480;3.2;mini xt320;;defy;;;motorola;
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-sony-ericsson-xperia-neo-v.html;;480 x 854;3.7;neo v;;xperia;;;sony ericsson;
;;http://www.buscape.com.br/detalhes--celular-alcatel-ot-255.html;dual;128 x 160;1.8;ot-255;;;;;alcatel;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-motorola-v220.html;single;128 x 128;;v220;;;;;motorola;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-zte-r222.html;dual;;1.8;r222;;;;;zte;
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-sony-xperia-j.html;;480 x 854;4.0;j;;xperia;;vga;sony;4.0
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-2730.html;single;320 x 240;2.0;2730;;;;;nokia;
5.0 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-secret-kf755.html;single;240 x 320;2.4;secret kf755;;;;;lg;
5.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-samsung-jet-gt-s8000.html;single;480 x 800;3.1;jet gt-s8000;;;;0.3 megapixels frontal;samsung;2.0
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-motorola-w388.html;single;128 x 160;1.8;w388;;;;;motorola;
8.0 megapixels;1.9;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-s4-active-gt-i9295.html;single;1920 x 1080;4.97;s4 active gt-i9295;;galaxy;2076.0;2.0 megapixels frontal;samsung;16.0
13.0 megapixels;1.4;http://www.buscape.com.br/detalhes--smartphone-lg-g4-stylus-hdtv-h540t.html;dual;1280 x 720;5.7;stylus hdtv h540t;;g4;899.0;5.0 megapixels frontal;lg;16.0
3.0 megapixels;;http://www.buscape.com.br/detalhes--celular-motorola-ex245.html;single;240 x 400;3.2;ex245;;;;;motorola;
5.0 megapixels;;http://www.buscape.com.br/detalhes--nokia-c6.html;single;360 x 640;3.2;c6;;;;0.3 megapixels frontal;nokia;
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-gradiente-gf-910.html;;128 x 128;;gf-910;;;;;gradiente;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-motorola-w396.html;single;128 x 160;1.8;w396;;;;;motorola;
5.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-s-iii-slim-sm-g3812.html;dual;540 x 960;4.5;s iii slim sm-g3812;;galaxy;;vga;samsung;8.0
3.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-ace-4-lite-duos-sm-g313m.html;dual;800 x 480;4.0;4 lite duos sm-g313m;;galaxy ace;;;samsung;4.0
2.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-lg-p525.html;dual;240 x 320;2.8;p525;;;;;lg;
8.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-nokia-c7.html;single;360 x 640;3.5;c7;;;;vga;nokia;8.0
3.2 megapixels;;http://www.buscape.com.br/detalhes--celular-huawei-g6300.html;dual;;2.4;g6300;;;;;huawei;
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-gt-c3300.html;single;240 x 320;2.4;gt-c3300;;;;;samsung;
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-mirage-p3103.html;dual;;2.0;p3103;;;;;mirage;
2 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-microsoft-lumia-435.html;;800 x 480;4.0;435;;lumia;;0.3 megapixels frontal;microsoft;8.0
2.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-cce-motionplus-sk352.html;;480 x 320;3.5;motionplus sk352;;;;;cce;
;;http://www.buscape.com.br/detalhes--celular-motorola-w220.html;single;128 x 128;1.6;w220;;;;;motorola;
5.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-lg-optimus-hub-e510.html;;320 x 480;3.5;hub e510;;optimus;;;lg;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-c2-00.html;dual;128 x 160;1.8;c2-00;;;;;nokia;
